ko_term,en_term,type,aliases,usage_note,status,source,last_context
영수증빙내역,proof of receipt,Finance,,Use as an official student society finance or accounting term.,approved,imported,
현금영수증,cash receipt,Finance,,Use as an official student society finance or accounting term.,approved,imported,
세금계산서,tax bill,Finance,,Use as an official student society finance or accounting term.,approved,imported,
분기,quarter,General,,Use exactly as the approved glossary translation.,approved,imported,
회계연도,fiscal year,Finance,,Use as an official student society finance or accounting term.,approved,imported,
예산안,budget bill,Finance,,Use as an official student society finance or accounting term.,approved,imported,
결산안,settlement bill,Finance,,Use as an official student society finance or accounting term.,approved,imported,
결산 평가,settlement evaluation,General,,Use exactly as the approved glossary translation.,approved,imported,
중앙회계,central finance,Finance,,Use as an official student society finance or accounting term.,approved,imported,
운영비,operating cost,Finance,,Use as an official student society finance or accounting term.,approved,imported,
정기사업비,regular project cost,Finance,,Use as an official student society finance or accounting term.,approved,imported,
비정기사업비,non-regular project cost,Finance,,Use as an official student society finance or accounting term.,approved,imported,
이월금,carry over balance,General,,Use exactly as the approved glossary translation.,approved,imported,
문화자치기금,Cultural Autonomous Fund,Finance,,Use as an official student society finance or accounting term.,approved,imported,
문화자치기금운용세칙,Cultural Autonomous Fund Management Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
사전심의,budget review,Finance,,Use as an official student society finance or accounting term.,approved,imported,
재심의,budget re-review,Finance,,Use as an official student society finance or accounting term.,approved,imported,
집행기관장,executive director,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
재정 담당자,accounting officer,Finance,,Use as an official student society finance or accounting term.,approved,imported,
재정운용규칙,Finance Operation Rules,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
석림태울제,Taewool Seoklim Festival,General,,Use exactly as the approved glossary translation.,approved,imported,
태울석림제,Taewool Seoklim Festival,General,,Use exactly as the approved glossary translation.,approved,imported,
해오름식,Sunrise festival,General,,Use exactly as the approved glossary translation.,approved,imported,
취업박람회,Career Fair,General,,Use exactly as the approved glossary translation.,approved,imported,
수강신청,course registration,Academic,,Use as the official student society academic term.,approved,imported,
수강신청 변경,course add,Academic,,Use as the official student society academic term.,approved,imported,
수강신청 취소,course withdrawal,Academic,,Use as the official student society academic term.,approved,imported,
성적입력기간,grading period,Academic,,Use as the official student society academic term.,approved,imported,
강의평가,course evaluation survey,Academic,,Use as the official student society academic term.,approved,imported,
조기졸업신청,apply for early graduation,Academic,,Use as the official student society academic term.,approved,imported,
학점인정시험,course waiver exam,Academic,,Use as the official student society academic term.,approved,imported,
학위수여식,KAIST Commencement,Academic,,Use as the official student society academic term.,approved,imported,
부전공,minor,Academic,,Use as the official student society academic term.,approved,imported,
복수전공,double major,Academic,,Use as the official student society academic term.,approved,imported,
자유융합전공,individually designed major,Academic,,Use as the official student society academic term.,approved,imported,
심화전공,advanced major,Academic,,Use as the official student society academic term.,approved,imported,
개교기념일,University's Founding Anniversary,General,,Use exactly as the approved glossary translation.,approved,imported,
국회의원 선거,the election for the member for the National Assembly,Election,,Use as an official student society election term.,approved,imported,
권리,rights,General,,Use exactly as the approved glossary translation.,approved,imported,
시행,enforcement,General,,Use exactly as the approved glossary translation.,approved,imported,
임기,term,General,,Use exactly as the approved glossary translation.,approved,imported,
궐위,vacancy,General,,Use exactly as the approved glossary translation.,approved,imported,
겸직,dual mandate,General,,Use exactly as the approved glossary translation.,approved,imported,
학과설명회,department information session,General,,Use exactly as the approved glossary translation.,approved,imported,
간식이벤트,snack event,General,,Use exactly as the approved glossary translation.,approved,imported,
과방,student lounge,General,,Use exactly as the approved glossary translation.,approved,imported,
딸기파티,strawberry party,General,,Use exactly as the approved glossary translation.,approved,imported,
학생회,student association,Organization,,Use as the official name of a student society organization.,approved,imported,
CA 제도,CA system,General,,Use exactly as the approved glossary translation.,approved,imported,
과잠,letterman jacket,General,,Use exactly as the approved glossary translation.,approved,imported,
졸업앨범,yearbook,Academic,,Use as the official student society academic term.,approved,imported,
동연회비,Student Clubs Union Fee,Finance,,Use as an official student society finance or accounting term.,approved,imported,
정기보고,regular report,General,,Use exactly as the approved glossary translation.,approved,imported,
일일보고,daily report,General,,Use exactly as the approved glossary translation.,approved,imported,
수요조사,demand survey,General,,Use exactly as the approved glossary translation.,approved,imported,
학사운영,academic operation,Academic,,Use as the official student society academic term.,approved,imported,
제휴,partnership,General,,Use exactly as the approved glossary translation.,approved,imported,
혜택,benefits,General,,Use exactly as the approved glossary translation.,approved,imported,
학자금,monthly scholarship,Academic,,Use as the official student society academic term.,approved,imported,
기초필수,basic required,General,,Use exactly as the approved glossary translation.,approved,imported,
기초선택,basic elective,General,,Use exactly as the approved glossary translation.,approved,imported,
전공필수,major required,Academic,,Use as the official student society academic term.,approved,imported,
전공선택,major elective,Academic,,Use as the official student society academic term.,approved,imported,
교양필수,mandatory general courses,Academic,,Use as the official student society academic term.,approved,imported,
인문사회선택,humanities & social elective,General,,Use exactly as the approved glossary translation.,approved,imported,
자유선택,other elective,General,,Use exactly as the approved glossary translation.,approved,imported,
한국어캠프,Korean Language Camp,General,,Use exactly as the approved glossary translation.,approved,imported,
기이수학점,credits completed before admission,Academic,,Use as the official student society academic term.,approved,imported,
임시회의,special,General,,Use exactly as the approved glossary translation.,approved,imported,
비례대의원,proportional delegates,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
입주업체,welfare facilities,General,,Use exactly as the approved glossary translation.,approved,imported,
사무비품,office supplies,Finance,,Use as an official student society finance or accounting term.,approved,imported,
투표소,polling station,Election,,Use as an official student society election term.,approved,imported,
